01	01	MULA	S	S	S	S	N	S	MLPG			
01	02	CAMIONETA	N	N	N	N	S	N	MLPG			
01	03	CAMION	S	N	N	N	S	N	MLPG			
01	04	CAMPERO	N	N	N	N	S	N	MLPG			
01	05	AUTOMOVIL	N	N	N	N	S	N	MLPG			
01	06	DOBLE TROKE	S	N	N	N	N	N	MLPG			
01	07	MOTOCICLETA	N	N	N	N	S	N	MLPG			
01	08	VOLQUETA	N	N	N	N	S	N	MLPG			
01	09	TRACTOR	N	N	N	N	N					
01	10	SUPER CARRY	S	N	N	N	N					
01	11	LUV DIMAX	S	N	N	N	N					
01	CR	CROSS	N	N	N	N	N					
01	MINI	MINIMULA	S	N	N	N	N					
01	TUR	TURBO	S	S	N	S	N					
01	VE	VENEZUELA	S	S	N	N	N	N	JEMD	03/12/2008 09:26:51:716		
